Fecha_datetime,Year,Month,Day,NO2_trop_mean,NO2_trop_std,WeekofYear,NO2_trop_mean_complete,NO2_trop_std_complete
2018-10-17T00:00:00Z,2018,10,17,1.106032742533e-4,4.164356957207885e-5,2018W42,1.106032742533e-4,4.164356957207885e-5
2018-10-18T00:00:00Z,2018,10,18,NA,NA,2018W42,9.474200733702855e-5,3.0191978444976522e-5
2018-10-19T00:00:00Z,2018,10,19,7.092693650283432e-5,2.5680821454203292e-5,2018W42,7.092693650283432e-5,2.5680821454203295e-5
2018-10-20T00:00:00Z,2018,10,20,NA,NA,2018W42,3.398184792543184e-5,1.1572736462759985e-5
2018-10-21T00:00:00Z,2018,10,21,NA,NA,2018W42,4.126062591565334e-6,0
2018-10-22T00:00:00Z,2018,10,22,7.92778519098647e-6,0,2018W43,7.927785190986456e-6,0
2018-10-23T00:00:00Z,2018,10,23,5.207287612538366e-5,1.971030721968536e-5,2018W43,5.207287612538366e-5,1.971030721968536e-5
2018-10-24T00:00:00Z,2018,10,24,NA,NA,2018W43,8.128565311603356e-5,1.4188608581949026e-5
2018-10-25T00:00:00Z,2018,10,25,NA,NA,2018W43,9.067942748351433e-5,0
2018-10-26T00:00:00Z,2018,10,26,9.293534502024536e-5,3.994452622652044e-6,2018W43,9.293534502024536e-5,3.994452622652042e-6
2018-10-27T00:00:00Z,2018,10,27,9.086838050094631e-5,3.741739792763216e-5,2018W43,9.086838050094631e-5,3.741739792763216e-5
2018-10-28T00:00:00Z,2018,10,28,7.097444450217479e-5,3.0925672112716454e-5,2018W43,7.097444450217479e-5,3.0925672112716454e-5
2018-10-29T00:00:00Z,2018,10,29,NA,NA,2018W44,8.314403718604884e-5,2.178393333485603e-5
2018-10-30T00:00:00Z,2018,10,30,NA,NA,2018W44,1.231264030381785e-4,2.4168310551271432e-5
2018-10-31T00:00:00Z,2018,10,31,NA,NA,2018W44,1.673490676568876e-4,3.7296755386691894e-5
2018-11-01T00:00:00Z,2018,11,1,1.922395566405e-4,6.038721946584666e-5,2018W44,1.9223955664049997e-4,6.0387219465846676e-5
2018-11-02T00:00:00Z,2018,11,2,NA,NA,2018W44,1.7708230680793578e-4,8.485036067727928e-5
2018-11-03T00:00:00Z,2018,11,3,1.125893998605e-4,7.086766196479049e-5,2018W44,1.1258939986049999e-4,7.086766196479049e-5
2018-11-04T00:00:00Z,2018,11,4,5.515511925287435e-5,2.6738312299906364e-5,2018W44,5.515511925287435e-5,2.6738312299906364e-5
2018-11-05T00:00:00Z,2018,11,5,1.3172451797855e-4,6.558008432201743e-5,2018W45,1.3172451797855e-4,6.558008432201742e-5
2018-11-06T00:00:00Z,2018,11,6,5.227999623389167e-5,2.0809210786886735e-5,2018W45,5.227999623389167e-5,2.0809210786886735e-5
2018-11-07T00:00:00Z,2018,11,7,9.27262127018001e-5,4.371080652767668e-5,2018W45,9.27262127018001e-5,4.371080652767668e-5
2018-11-08T00:00:00Z,2018,11,8,4.6200890910599e-5,2.6612341591070366e-5,2018W45,4.6200890910599e-5,2.6612341591070366e-5
2018-11-09T00:00:00Z,2018,11,9,8.635862331275592e-5,4.685389708800691e-5,2018W45,8.635862331275592e-5,4.685389708800691e-5
2018-11-10T00:00:00Z,2018,11,10,NA,NA,2018W45,1.594725471742354e-4,5.191903590690972e-5
2018-11-11T00:00:00Z,2018,11,11,NA,NA,2018W45,2.1163359170345725e-4,3.355088860963087e-5
2018-11-12T00:00:00Z,2018,11,12,NA,NA,2018W46,2.1595931871393946e-4,1.0120771279538302e-5
2018-11-13T00:00:00Z,2018,11,13,1.455672900192e-4,0,2018W46,1.455672900192e-4,0
2018-11-14T00:00:00Z,2018,11,14,4.17153751175473e-5,1.316309589030804e-5,2018W46,4.17153751175473e-5,1.316309589030804e-5
2018-11-15T00:00:00Z,2018,11,15,8.010608621990176e-5,2.608901723433918e-5,2018W46,8.010608621990178e-5,2.608901723433918e-5
2018-11-16T00:00:00Z,2018,11,16,5.8528590382222045e-5,1.86524730148592e-5,2018W46,5.8528590382222045e-5,1.86524730148592e-5
2018-11-17T00:00:00Z,2018,11,17,NA,NA,2018W46,3.0265967167051026e-5,1.0904176024857436e-5
2018-11-18T00:00:00Z,2018,11,18,2.6852809272744568e-5,1.1841222523469265e-5,2018W46,2.6852809272744575e-5,1.1841222523469263e-5
2018-11-19T00:00:00Z,2018,11,19,5.382879181604776e-5,2.6040911617332103e-5,2018W47,5.382879181604776e-5,2.6040911617332103e-5
2018-11-20T00:00:00Z,2018,11,20,1.018513816423e-4,4.725708356489552e-5,2018W47,1.018513816423e-4,4.725708356489552e-5
2018-11-21T00:00:00Z,2018,11,21,7.145582569784988e-5,3.138893932860566e-5,2018W47,7.145582569784988e-5,3.138893932860566e-5
2018-11-22T00:00:00Z,2018,11,22,NA,NA,2018W47,3.781757427171934e-5,5.7872947467506345e-6
2018-11-23T00:00:00Z,2018,11,23,NA,NA,2018W47,2.9618325540729315e-5,0
2018-11-24T00:00:00Z,2018,11,24,4.889451529056245e-5,1.48417437857456e-5,2018W47,4.8894515290562454e-5,1.4841743785745602e-5
2018-11-25T00:00:00Z,2018,11,25,8.180905075188058e-5,6.11184532196144e-5,2018W47,8.180905075188058e-5,6.11184532196144e-5
2018-11-26T00:00:00Z,2018,11,26,NA,NA,2018W48,7.460087599500926e-5,6.266271211688929e-5
2018-11-27T00:00:00Z,2018,11,27,NA,NA,2018W48,5.191601077424076e-5,3.523215328479888e-5
2018-11-28T00:00:00Z,2018,11,28,6.197062590361425e-5,2.195672897851875e-5,2018W48,6.197062590361421e-5,2.1956728978518782e-5
